Parameter grid:,,"{'n_estimators': [200, 600, 800],",,,,,,,,,,,
,,"              'max_depth': [8, 10, 12],",,,,,,,,,,,
,,              },,,,,,,,,,,
,,,,,,,,,,,,,
Data set, n locations, n data points, R2 test, R2 train, MAE, ta,rh,vpd,ppfd_in,swc_shallow,precip, Best parameters ,
 k_means_0_rf,40,899801,0.598207962,0.604336404,266.9713005,0.4265,0.0454,0.0359,0.2222,0.2685,0.0015, {'max_depth': 12, 'n_estimators': 600} 
 k_means_1_rf,23,426504,0.573731016,0.579842208,1023.310794,0.0986,0.0425,0.4563,0.1905,0.2098,0.0023, {'max_depth': 12, 'n_estimators': 800} 
 k_means_2_rf,1,287,0.089175414,-0.048327193,431.7927351,0.2828,0.1366,0.1235,0,0.2576,0.1995, {'max_depth': 8, 'n_estimators': 200} 
 k_means_3_rf,27,792814,0.525034906,0.521531877,826.0577727,0.1609,0.0743,0.0833,0.3649,0.3145,0.002, {'max_depth': 12, 'n_estimators': 800} 
 k_means_4_rf,4,52335,0.837434129,0.83109166,1312.14434,0.1323,0.0316,0.0234,0.6429,0.1639,0.0059, {'max_depth': 12, 'n_estimators': 600} 
 func_0_rf,45,430852,0.698856111,0.713789542,885.2580075,0.44,0.0495,0.0531,0.2268,0.2278,0.0028, {'max_depth': 12, 'n_estimators': 800} 
 func_1_rf,48,1737484,0.379732764,0.372323698,715.5432322,0.1686,0.0925,0.0782,0.3312,0.3274,0.0021, {'max_depth': 12, 'n_estimators': 800} 
 biome_WoodlandShrubland_rf,36,688878,0.699628262,0.712187902,293.7180604,0.2746,0.0367,0.0555,0.2202,0.4116,0.0015, {'max_depth': 12, 'n_estimators': 600} 
 biome_Temperate forest_rf,39,862316,0.512755994,0.524285038,1150.234344,0.1492,0.0525,0.154,0.4261,0.2171,0.0011, {'max_depth': 12, 'n_estimators': 600} 
 biome_Tropical rain forest_rf,5,52622,0.833396142,0.829465059,1299.153038,0.1372,0.0314,0.0231,0.6396,0.1625,0.0061, {'max_depth': 12, 'n_estimators': 800} 
 biome_Tropical forest savanna_rf,5,38983,0.89811102,0.888836639,75.68754098,0.3596,0.2429,0.021,0.2294,0.1454,0.0017, {'max_depth': 12, 'n_estimators': 800} 
 biome_Subtropical desert_rf,4,36606,0.50708864,0.493603788,499.9840456,0.1862,0.144,0.1285,0.1297,0.4088,0.0028, {'max_depth': 12, 'n_estimators': 600} 
 biome_Boreal forest_rf,3,32509,0.845114171,0.838782022,288.3052018,0.5427,0.0241,0.0527,0.2888,0.0901,0.0015, {'max_depth': 12, 'n_estimators': 800} 
 biome_Temperate grassland desert_rf,3,459827,0.786083174,0.777551979,81.76514379,0.0332,0.0181,0.1553,0.3882,0.4042,0.001, {'max_depth': 12, 'n_estimators': 600} 
