Cluster,MAP,MAT
0,792.2920349937875,10.919319817383737
1,2980.9457157042925,25.522803205611428
2,1002.3596418743849,10.529357355162722
3,868.4980228397974,13.95890183460575
Woodland/Shrubland,640.3227827482718,9.321329162382046
Temperate forest,1120.4710430383159,10.243512068883469
Tropical rain forest,2980.9457157042925,25.522803205611428
Tropical forest savanna,714.102729786038,20.24131054687389
Subtropical desert,280.72297867614304,26.034669449917814
Boreal forest,744.0084461563787,1.5190655547093417
Temperate grassland desert,311.42915626859866,12.667087645095911
Evergreen,895.8633880974407,11.737988496806443
Deciduous,940.5096967762403,11.513024870824252
