Site Name,Latitude,Longitude,1,2,3,4,5,6,7,8,9,10,11,12
ARG_MAZ,-51.57944,-72.28639,8.76,8.53,7.91,6.97,6.22,5.69,5.82,6.03,6.91,7.60,8.02,8.68
ARG_TRE,-51.31667,-72.185,8.31,8.14,7.36,6.30,5.41,4.69,4.76,5.02,6.10,6.97,7.57,8.28
AUS_RIC_EUC_ELE,-33.61777778,150.7402778,2.64,2.93,2.76,2.93,2.72,2.59,2.51,2.21,2.06,2.27,2.44,2.66
AUS_WOM,-37.4222,144.0944,4.35,4.48,4.59,4.73,5.24,5.14,5.78,4.04,4.00,4.25,4.71,4.79
AUT_TSC,47.23333333,10.83888889,1.47,1.48,1.49,1.60,1.69,1.91,1.96,2.04,2.02,1.85,1.50,1.56
CAN_TUR_P39_POS,42.70977778,-80.3574,4.30,4.10,3.60,3.20,2.90,3.00,3.30,3.60,4.10,4.20,4.10,4.41
CAN_TUR_P39_PRE,42.70977778,-80.3574,4.30,4.10,3.60,3.20,2.90,3.00,3.30,3.60,4.10,4.20,4.10,4.41
CAN_TUR_P74,42.70681111,-80.34831389,4.30,4.10,3.60,3.20,2.90,3.00,3.28,3.60,4.10,4.16,4.10,4.42
CHE_DAV_SEE,46.81668,9.856198,2.57,2.55,2.50,2.46,2.38,2.58,2.58,2.68,2.81,2.82,2.65,2.53
CHE_PFY_CON,46.3,7.6,1.66,1.72,1.66,1.75,1.82,2.02,2.05,2.20,2.33,2.29,1.93,1.56
CHE_PFY_IRR,46.3,7.6,1.66,1.72,1.66,1.75,1.82,2.02,2.05,2.20,2.33,2.29,1.93,1.56
CRI_TAM_TOW,10.38694444,-84.62583333,3.42,2.50,2.00,1.92,2.32,2.60,2.11,2.48,3.44,3.84,4.09,4.03
CZE_BIK,49.49444444,18.53,4.27,4.20,3.91,3.49,3.05,3.17,3.23,3.54,3.88,4.10,4.02,4.27
CZE_KRT_KRT,49.3223336,16.7486453,4.24,4.14,3.96,3.56,3.25,3.38,3.35,3.79,4.20,4.38,4.24,4.22
CZE_LAN,48.68166667,16.94638889,3.30,3.20,3.00,2.90,2.80,3.00,3.00,3.30,3.70,3.62,3.40,3.26
CZE_LIZ_LES,49.06668,13.67975,4.14,3.77,3.54,3.22,2.88,3.09,3.01,3.32,3.49,4.06,3.94,4.17
CZE_STI,49.03583333,17.97,4.23,4.23,3.94,3.55,3.18,3.28,3.34,3.74,4.14,4.20,4.11,4.19
CZE_UTE_BEE,49.2835917,16.6519047,3.82,3.72,3.60,3.28,3.05,3.18,3.18,3.56,3.96,4.08,3.87,3.80
CZE_UTE_BNA,49.2809075,16.6487236,3.82,3.72,3.60,3.28,3.05,3.18,3.18,3.56,3.96,4.08,3.87,3.80
CZE_UTE_BPO,49.280925,16.6479942,3.82,3.72,3.60,3.28,3.05,3.18,3.18,3.56,3.96,4.08,3.87,3.80
CZE_UTE_SPR,49.2803686,16.6462989,3.82,3.72,3.60,3.28,3.05,3.18,3.18,3.56,3.96,4.08,3.87,3.80
DEU_STE_2P3,53.1,13,4.40,4.16,3.70,3.40,3.10,3.38,3.30,3.50,3.80,4.26,4.04,4.38
DEU_STE_4P5,53.1,13,4.40,4.16,3.70,3.40,3.10,3.38,3.30,3.50,3.80,4.26,4.04,4.38
ESP_ALT_ARM,40.7769,-2.3283,2.47,2.47,2.48,2.30,2.68,2.60,2.70,3.00,3.30,3.06,2.86,2.57
ESP_ALT_HUE,40.7925,-2.2872,2.48,2.48,2.48,2.34,2.70,2.66,2.70,3.05,3.30,3.10,2.88,2.58
ESP_ALT_TRI,40.8044,-2.2328,2.52,2.50,2.50,2.35,2.70,2.68,2.70,3.06,3.34,3.10,2.89,2.62
ESP_CAN,41.43098889,2.073611111,2.76,2.62,2.86,2.84,3.04,3.17,3.17,3.20,3.35,3.19,2.95,2.77
ESP_SAN_A2_45I,37.249105,-5.797067,2.74,2.60,2.60,2.82,2.94,3.06,3.10,3.18,3.20,2.95,2.81,2.62
ESP_SAN_A_45I,37.249105,-5.797067,2.74,2.60,2.60,2.82,2.94,3.06,3.10,3.18,3.20,2.95,2.81,2.62
ESP_SAN_B2_100,37.249105,-5.797067,2.74,2.60,2.60,2.82,2.94,3.06,3.10,3.18,3.20,2.95,2.81,2.62
ESP_SAN_B_100,37.249105,-5.797067,2.74,2.60,2.60,2.82,2.94,3.06,3.10,3.18,3.20,2.95,2.81,2.62
ESP_TIL_MIX,41.33262995,1.0144288,3.70,3.62,3.58,3.32,3.42,3.42,3.46,3.60,3.86,3.72,3.84,3.67
ESP_TIL_OAK,41.33262416,1.01409989,3.70,3.62,3.58,3.32,3.42,3.42,3.46,3.60,3.86,3.72,3.84,3.67
ESP_TIL_PIN,41.328113,1.006642,3.70,3.62,3.58,3.32,3.42,3.42,3.46,3.60,3.86,3.72,3.84,3.67
ESP_VAL_BAR,42.20293333,1.820486111,4.91,4.97,4.77,4.32,4.34,4.30,4.25,4.47,4.84,4.87,4.97,4.82
ESP_VAL_SOR,42.19605278,1.8135611,4.91,4.97,4.77,4.32,4.34,4.30,4.25,4.47,4.84,4.87,4.97,4.82
ESP_YUN_C1,36.724558,-4.968905,4.82,4.37,4.11,3.74,3.56,3.51,3.70,3.94,4.60,4.60,4.90,4.49
ESP_YUN_C2,36.724455,-4.965737,4.82,4.37,4.11,3.74,3.56,3.51,3.70,3.94,4.60,4.60,4.90,4.49
ESP_YUN_T1_THI,36.724232,-4.967474,4.82,4.37,4.11,3.74,3.56,3.51,3.70,3.94,4.60,4.60,4.90,4.49
ESP_YUN_T3_THI,36.723949,-4.967004,4.82,4.37,4.11,3.74,3.56,3.51,3.70,3.94,4.60,4.60,4.90,4.49
FIN_PET,69.49182203,27.23108229,2.10,2.10,2.50,2.30,2.20,2.50,2.90,2.70,2.70,2.70,2.54,2.30
FRA_HES_HE1_NON,48.6742,7.0647,3.73,3.42,3.02,2.86,2.61,2.86,2.99,3.10,3.38,3.77,3.66,3.84
FRA_HES_HE2_NON,48.6742,7.0647,3.73,3.42,3.02,2.86,2.61,2.86,2.99,3.10,3.38,3.77,3.66,3.84
FRA_PUE,43.74138889,3.595833333,4.26,4.40,4.09,3.92,4.10,4.39,4.32,4.50,4.99,4.90,4.43,4.15
GBR_ABE_PLO,56.616,-3.8,4.50,4.56,4.37,4.10,3.58,3.77,3.95,3.98,4.38,4.96,4.98,5.14
GBR_DEV_CON,56.03333,-3.716667,4.81,4.67,4.50,4.43,3.85,3.94,4.09,4.24,4.57,5.33,5.26,5.39
GBR_DEV_DRO,56.03333,-3.716667,4.81,4.67,4.50,4.43,3.85,3.94,4.09,4.24,4.57,5.33,5.26,5.39
GBR_GUI_ST1,57.266667,-4.816667,4.17,4.32,4.24,3.90,3.57,3.72,4.00,3.96,4.24,4.86,4.85,4.93
GBR_GUI_ST2,57.266667,-4.816667,4.17,4.32,4.24,3.90,3.57,3.72,4.00,3.96,4.24,4.86,4.85,4.93
GBR_GUI_ST3,57.266667,-4.816667,4.17,4.32,4.24,3.90,3.57,3.72,4.00,3.96,4.24,4.86,4.85,4.93
GUF_GUY_GUY,5.278772,-52.924863,2.09,2.12,2.11,2.09,1.88,1.67,1.64,1.96,2.39,2.66,2.64,2.38
GUF_GUY_ST2,5.281666667,-52.91222222,2.16,2.19,2.19,2.16,1.94,1.72,1.71,2.03,2.48,2.74,2.72,2.45
IDN_JAM_OIL,-2.0708889,102.7918333,1.44,1.20,1.30,1.44,1.27,1.12,1.23,0.90,1.00,1.30,1.60,1.78
IDN_JAM_RUB,-2.095278,102.783222,1.45,1.20,1.34,1.37,1.24,1.11,1.22,0.90,1.00,1.30,1.60,1.75
IDN_PON_STE,-1.494,120.057,1.15,1.21,1.42,1.61,1.41,1.12,1.12,1.04,1.20,1.29,1.20,1.17
ISR_YAT_YAT,31.34499931,35.05149841,2.42,2.42,2.52,3.10,3.10,3.21,3.33,3.16,3.20,3.17,2.66,2.52
ITA_FEI_S17,46.69352,10.61287,2.30,2.24,2.10,2.05,2.05,2.25,2.32,2.43,2.52,2.47,2.26,2.30
ITA_KAE_S20,46.69767,10.60717,2.30,2.24,2.10,2.05,2.05,2.25,2.32,2.43,2.52,2.47,2.26,2.30
ITA_MAT_S21,46.74,10.69086111,3.82,3.64,3.26,2.95,2.79,3.02,3.04,3.26,3.52,3.65,3.60,3.79
ITA_MUN,46.67772,10.57808,1.72,1.69,1.62,1.66,1.73,1.93,1.99,2.06,2.12,2.01,1.74,1.74
ITA_RUN_N20,46.69865,10.64222,3.60,3.43,3.06,2.82,2.66,2.88,2.93,3.10,3.36,3.48,3.39,3.56
ITA_TOR,45.82376,7.56089,2.66,2.69,2.58,2.66,2.62,2.82,2.89,3.06,3.15,3.09,2.71,2.54
NLD_LOO,52.16648333,5.743552778,4.50,4.16,3.90,3.50,3.22,3.43,3.60,3.89,4.10,4.53,4.50,4.85
NZL_HUA_HUA,-36.7958,174.4903,4.92,5.63,5.45,5.05,5.04,4.69,4.52,4.76,4.35,4.46,4.62,4.96
PRT_LEZ_ARN,38.83333333,-8.816666667,3.25,3.02,3.06,3.06,3.63,3.87,3.65,3.60,3.61,3.53,3.32,3.01
RUS_POG_VAR,56.36,92.95,2.50,2.96,2.80,2.20,1.90,1.90,2.30,3.10,3.20,2.70,2.33,2.30
SEN_SOU_IRR,16.344,-15.428,2.65,2.16,2.48,2.41,2.71,3.10,3.50,3.69,3.20,3.16,3.04,2.99
SEN_SOU_POS,16.344,-15.428,2.65,2.16,2.48,2.41,2.71,3.10,3.50,3.69,3.20,3.16,3.04,2.99
SEN_SOU_PRE,16.344,-15.428,2.65,2.16,2.48,2.41,2.71,3.10,3.50,3.69,3.20,3.16,3.04,2.99
SWE_NOR_ST1_AF1,60.086,17.48,2.90,2.90,2.79,2.72,2.50,2.60,2.84,3.08,3.06,3.09,3.03,3.08
SWE_NOR_ST1_AF2,60.086,17.48,2.90,2.90,2.79,2.72,2.50,2.60,2.84,3.08,3.06,3.09,3.03,3.08
SWE_NOR_ST1_BEF,60.086,17.48,2.90,2.90,2.79,2.72,2.50,2.60,2.84,3.08,3.06,3.09,3.03,3.08
SWE_NOR_ST2,60.086,17.48,2.90,2.90,2.79,2.72,2.50,2.60,2.84,3.08,3.06,3.09,3.03,3.08
SWE_NOR_ST3,60.086,17.48,2.90,2.90,2.79,2.72,2.50,2.60,2.84,3.08,3.06,3.09,3.03,3.08
SWE_NOR_ST4_AFT,60.083,17.476,2.90,2.90,2.80,2.70,2.50,2.60,2.81,3.08,3.08,3.10,3.02,3.09
SWE_NOR_ST4_BEF,60.083,17.476,2.90,2.90,2.80,2.70,2.50,2.60,2.81,3.08,3.08,3.10,3.02,3.09
SWE_NOR_ST5_REF,60.083,17.476,2.90,2.90,2.80,2.70,2.50,2.60,2.81,3.08,3.08,3.10,3.02,3.09
THA_KHU,15.273,103.081,1.59,1.76,1.38,1.16,1.56,1.64,1.65,1.36,1.48,1.46,1.28,1.34
USA_DUK_HAR,36.978175,-79.09419083,2.50,2.40,2.10,2.00,1.80,1.99,2.10,2.49,3.00,3.00,2.80,2.78
USA_HIL_HF1_POS,36.2173212,-78.86417865,2.50,2.40,2.16,2.10,1.90,2.00,2.20,2.50,3.00,3.00,2.80,2.74
USA_HIL_HF1_PRE,36.2173212,-78.86417865,2.50,2.40,2.16,2.10,1.90,2.00,2.20,2.50,3.00,3.00,2.80,2.74
USA_HIL_HF2,36.21747661,-78.86399373,2.50,2.40,2.16,2.10,1.90,2.00,2.20,2.50,3.00,3.00,2.80,2.74
USA_HUY_LIN_NON,42.52753056,-74.15720278,3.92,3.79,3.32,2.90,2.66,2.96,3.17,3.61,4.22,4.38,4.20,4.06
USA_INM,39.323228,-86.413239,4.07,4.00,3.30,2.76,2.50,2.73,3.20,3.79,4.56,4.47,4.29,4.41
USA_MOR_SF,39.323011,-86.413321,4.07,4.00,3.30,2.76,2.50,2.73,3.20,3.79,4.56,4.47,4.29,4.41
USA_ORN_ST1_AMB,35.9,-84.333,2.03,1.84,1.60,1.60,1.53,1.68,1.80,2.00,2.48,2.53,2.28,2.23
USA_ORN_ST2_AMB,35.9,-84.333,2.03,1.84,1.60,1.60,1.53,1.68,1.80,2.00,2.48,2.53,2.28,2.23
USA_ORN_ST3_ELE,35.9,-84.333,2.03,1.84,1.60,1.60,1.53,1.68,1.80,2.00,2.48,2.53,2.28,2.23
USA_ORN_ST4_ELE,35.9,-84.333,2.03,1.84,1.60,1.60,1.53,1.68,1.80,2.00,2.48,2.53,2.28,2.23
USA_PAR_FER,35.80311111,-76.66791667,2.71,2.59,2.49,2.73,2.45,2.61,2.84,3.12,3.48,3.40,3.10,3.00
USA_PJS_P04_AMB,34.38638889,-106.5294444,3.68,3.88,3.60,3.34,3.11,3.41,4.02,4.56,5.15,4.62,4.14,3.60
USA_PJS_P08_AMB,34.38638889,-106.5294444,3.68,3.88,3.60,3.34,3.11,3.41,4.02,4.56,5.15,4.62,4.14,3.60
USA_PJS_P12_AMB,34.38638889,-106.5294444,3.68,3.88,3.60,3.34,3.11,3.41,4.02,4.56,5.15,4.62,4.14,3.60
USA_SIL_OAK_1PR,39.91563056,-74.59555556,3.80,3.58,3.10,2.89,2.67,2.83,3.10,3.40,4.10,4.30,4.11,4.00
USA_SIL_OAK_2PR,39.91563056,-74.59555556,3.80,3.58,3.10,2.89,2.67,2.83,3.10,3.40,4.10,4.30,4.11,4.00
USA_SIL_OAK_POS,39.91563056,-74.59555556,3.80,3.58,3.10,2.89,2.67,2.83,3.10,3.40,4.10,4.30,4.11,4.00
USA_SYL_HL2,46.24201667,-89.34765,3.50,3.80,3.70,3.44,3.06,3.10,3.40,3.87,4.00,3.80,3.63,3.68
USA_TNB,36.471197,-84.704072,2.60,2.36,1.92,1.79,1.76,1.89,2.08,2.36,2.92,3.01,2.81,2.84
USA_TNO,35.966,-84.281866,2.06,1.87,1.60,1.60,1.53,1.70,1.80,2.00,2.50,2.56,2.30,2.27
USA_TNP,35.96041,-84.287933,2.06,1.87,1.60,1.60,1.53,1.70,1.80,2.00,2.50,2.56,2.30,2.27
USA_TNY,35.687635,-83.501202,2.64,2.32,2.04,1.86,1.75,1.94,2.05,2.38,2.94,3.00,2.88,2.86
USA_UMB_CON,45.55972222,-84.71333333,4.00,4.00,3.70,3.34,3.00,3.10,3.29,3.60,3.99,3.80,3.80,4.04
USA_UMB_GIR,45.5625,-84.6975,4.00,4.00,3.69,3.30,3.00,3.08,3.27,3.60,3.93,3.80,3.80,4.00
USA_WIL_WC1,45.81305556,-90.08666667,3.11,3.40,3.30,3.00,2.70,2.80,3.10,3.50,3.70,3.40,3.29,3.20
USA_WIL_WC2,45.81305556,-90.08666667,3.11,3.40,3.30,3.00,2.70,2.80,3.10,3.50,3.70,3.40,3.29,3.20
USA_WVF,39.058867,-79.690668,3.64,3.53,2.98,2.57,2.34,2.59,2.88,3.28,3.96,4.00,3.80,3.90
ZAF_FRA_FRA,-33.884334,19.060978,4.29,4.30,3.66,3.67,3.80,3.30,3.54,3.33,3.09,3.70,4.29,4.56
ZAF_NOO_E3_IRR,-33.20099167,19.33751667,3.70,3.83,3.80,3.89,2.57,2.70,2.44,3.02,2.67,2.99,3.08,3.59
ZAF_SOU_SOU,-34.087,19.0933,4.62,3.96,3.72,4.16,4.62,3.66,4.11,4.13,3.26,3.58,4.38,4.47
