,Feature average,Sap flux average,Feature variance,Sap flux variance
0,"[14.026697196711275, 0.8083381236792461, 393.2623484794601, 0.14052838218200508]",470.63471634708145,"[75.63000265831846, 0.738091970405993, 316966.7136964705, 0.008070455921909012]",958349.7865122096
1,"[25.679286796789377, 0.5279717987203565, 359.54010333443364, 0.2492108566710489]",4262.670678914487,"[5.765739312449461, 0.21004320964722803, 295199.7514275703, 0.013896783653406106]",30243668.608750265
2,"[15.843109729494646, 0.4796688492303811, 264.542997268268, 0.328932168667853]",2847.330863443122,"[49.081829675767054, 0.32480519802894897, 181808.14815939183, 0.017675032132846078]",11843881.09981688
3,"[11.3194127268707, 0.45569312194720024, 378.26232563087365, 0.20917951880889002]",6886.221125072784,"[39.81393759134722, 0.4225930888781553, 354676.77163313696, 0.004326985319084841]",69749152.47152756
deciduous,"[16.172008751596437, 0.6240207826979528, 399.98813058735976, 0.23488847493172632]",1831.3152187873145,"[67.6507345779202, 0.45710580954170527, 317113.96294398257, 0.011979838797278444]",10402432.822578566
evergreen,"[13.947902126940688, 0.8081009198719759, 376.2196189316129, 0.16125788762926271]",842.4171069856791,"[72.65749360804848, 0.7644785239270668, 306451.4673537155, 0.014259715485066073]",5517647.822964101
mixed,"[15.682883167459865, 0.5890902195252918, 356.99695206818404, 0.15911829480885964]",1273.0317028542952,"[76.00750138817942, 0.41517593642856826, 269389.4321003527, 0.007698996795151094]",7110122.240919166
Woodland/Shrubland,"[13.706401510558328, 0.601075840966147, 375.82126487020656, 0.16603614630294874]",504.0881681222281,"[53.676261111187145, 0.44488305172997017, 300480.9927124991, 0.0067371794498415965]",1558611.8837384249
Temperate forest,"[13.03738187088302, 0.5020062672776237, 324.05421665032816, 0.22096640160617803]",1714.4770613656867,"[81.98336831055266, 0.3164920007470107, 252303.89151468704, 0.017283459515144758]",11156973.394534824
Tropical rain forest,"[25.679286796789377, 0.5279717987203565, 359.54010333443364, 0.2492108566710489]",4262.670678914487,"[5.765739312449461, 0.21004320964722803, 295199.7514275703, 0.013896783653406106]",30243668.608750265
Tropical forest savanna,"[24.54017409104244, 1.304330161330257, 538.9712616530925, 0.1604917751265311]",398.47270869335796,"[36.15966535846221, 1.482588685074206, 412636.943701977, 0.006220545016083438]",440343.0076345248
Subtropical desert,"[18.686285399262964, 1.3822464623074293, 439.78727683885694, 0.11053315215045356]",917.3225769207916,"[43.691616175915776, 1.2292251177864062, 364813.4404725006, 0.0026225627043731828]",1585296.204529958
Boreal forest,"[7.551261009819525, 0.3061888876802102, 369.0895094982735, 0.29980468441327407]",789.218484861628,"[34.35374881739102, 0.1076920138578662, 326422.54676938825, 0.01372752757162026]",1561931.12482961
Temperate grassland desert,"[16.36726291627077, 1.406662981866824, 451.1645982576154, 0.06637147977887593]",229.66737168810812,"[66.09382882163139, 1.0421870612338866, 364048.85232995084, 0.0015575278928548423]",95141.8809951443
